Taxonomy	Sample1	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample2	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample3	Sample30	Sample31	Sample32	Sample33	Sample34	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Tax_detail
Desulfovibrio	0.00947934352009055	0	0	0	0	0	0	0	0	0	0.00552104899930987	0.00399725902238465	0.00253929866989117	0.00416281221091582	0.00355292376017765	0	0	0	0	0.00703674745895231	0	0	0.00366069174450896	0	0	0	0	0	0.0100445009535919	0	0	0	0	0.019629225736096	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;
Capnocytophaga	0	0	0	0.00282485875706215	0	0	0	0	0.00140712945590994	0	0	0	0	0	0	0.00175199532801246	0	0	0.019235393123347	0	0	0.00492906948785766	0	0.00867722732317627	0	0	0.00066423115244105	0.00142348754448399	0	0	0.00286532951289398	0.00125984251968504	0.0067175572519084	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;
Porphyromonas	0	0	0.00419815281276238	0	0.0150905432595573	0	0.00218938149972633	0	0	0.00196309383588536	0.000966183574879227	0	0	0	0	0.00525598598403738	0.00268096514745308	0.00409165302782324	0.00673238759317143	0	0.008575058225704	0.00336619379658572	0	0.00655836948844718	0.00825536598789213	0.00478816018572258	0.0053138492195284	0.00512455516014235	0.00241576605212969	0.00151515151515152	0.00198368966277276	0.00818897637795276	0.0189312977099237	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;
Campylobacter	0	0	0	0	0	0.00516262261228704	0.00437876299945265	0.01066531234129	0.0178236397748593	0.00706713780918728	0	0	0	0	0	0.00661864901693596	0.00335120643431635	0.00327332242225859	0.0163500841548449	0	0.00243489307643447	0.00108199086318827	0	0.00343053173241852	0.00385250412768299	0.0105919907138712	0.00514779143141813	0.0152313167259786	0	0.00101010101010101	0.000881639850121226	0	0.00183206106870229	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;
Clostridium	0.0175438596491228	0	0	0	0	0	0	0	0	0	0.0110420979986197	0.0110781178620375	0.00931076178960097	0.00138760407030527	0.00133234641006662	0	0.00201072386058981	0	0.00168309689829286	0.0109460516028147	0.00232902816006775	0.000240442414041837	0.0177985357233022	0	0	0	0	0	0.00775588048315321	0.00303030303030303	0.00176327970024245	0.00094488188976378	0.000610687022900763	0.0174482006543075	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;
Brevundimonas	0	0	0.00503778337531486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0177853059496083	0.0032459725895648	0	0	0	0	0	0	0	0.00782828282828283	0.00418778928807582	0.00283464566929134	0.00702290076335878	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;
Conchiformibius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317594749100148	0	0	0	0	0	0	0	0	0	0	0.00566929133858268	0.0177099236641221	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Conchiformibius;
Sphingomonas	0	0	0.00587741393786734	0.00941619585687382	0	0	0	0	0	0	0	0	0	0	0	0	0.0134048257372654	0.00286415711947627	0	0	0.0155621427059073	0.00408752103871123	0	0	0	0	0	0	0	0.00631313131313131	0.00617147895084858	0.0062992125984252	0.0174045801526718	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;
Oribacterium	0	0	0	0	0	0.0113577697470315	0.00547345374931582	0.00761808024377857	0.0117260787992495	0.00706713780918728	0	0	0	0	0	0.0118746350009733	0	0	0.00601106035104592	0	0	0	0	0.00353142972454848	0.00935608145294441	0.0171213000580383	0.010129525074726	0.00427046263345196	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;
Granulicatella	0	0	0	0.0169491525423729	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00368248772504092	0	0	0.00105864916366716	0.00480884828083674	0	0.00353142972454848	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;
Megamonas	0	0	0	0.0169491525423729	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00450081833060556	0	0	0.000952784247300445	0.00937725414763164	0	0	0	0	0	0	0	0	0	0.00598425196850394	0.00366412213740458	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;
Aggregatibacter	0	0	0	0	0	0	0.00711548987411056	0	0	0	0	0	0	0	0	0	0	0.00818330605564648	0.0151478720846357	0	0.00201143341096761	0.00360663621062755	0	0.0083745333467864	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;
Parvimonas	0	0	0	0	0	0.00103252452245741	0	0	0.000938086303939962	0.00510404397330192	0	0	0	0	0	0	0.0046916890080429	0.00204582651391162	0.0139456600144265	0	0.0039170019055685	0.00120221207020918	0	0.00565028755927757	0	0.000290191526407429	0.00066423115244105	0.00099644128113879	0	0.00303030303030303	0.00198368966277276	0.00094488188976378	0.00244274809160305	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Parvimonas;
Actinomyces	0	0	0	0	0	0.0103252452245741	0	0.0137125444388014	0.00984990619136961	0.00510404397330192	0	0	0	0	0	0.00525598598403738	0	0	0.00168309689829286	0	0.00105864916366716	0.00156287569127194	0	0.0030269397638987	0	0.0133488102147417	0.00564596479574892	0.00199288256227758	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;
Gemmiger	0	0	0	0	0	0	0	0	0	0	0	0	0.0134220072551391	0.00955905026210299	0.00829015544041451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;
Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00468862707381582	0	0	0	0	0	0	0	0	0	0	0.012824427480916	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;
Treponema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127434479442174	0	0.000317594749100148	0	0	0.002320653818989	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;
Acidovorax	0	0.0090684253915911	0	0.012241054613936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;
Vibrio	0	0	0	0.0112994350282486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00220472440944882	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;
Paludibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105794662178408	0	0	0	0	0.00272424578750883	0	0	0	0	0	0.00227272727272727	0.00242450958783337	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter;
